% program   : RTKPOST ver.2.4.2
% obs_start : 2019/10/29 01:44:23.0 GPST
% obs_end   : 2019/10/29 01:54:54.0 GPST
% pos_mode  : ppp-static
% solution  : forward
% tropo opt : saastamoinen
% ephemeris : broadcast
% antenna1  : ( 0.0000  0.0000  0.0000)
% ====================================  END OF HEADER
%  GPST           x-ecef(m)             y-ecef(m)      z-ecef(m)   Q 
2018/10/29 01:47:07.000  3664880.3483       1409191.2853          5009618.1822  6 
2018/10/29 01:47:08.000  3664879.6854       1409190.0411          5009618.5788  6 
2018/10/29 01:47:09.000  3664880.8478       1409190.5436          5009617.8689  6 
2018/10/29 01:47:10.000  3664880.5768       1409190.0033          5009618.0203  6 
2018/10/29 01:47:11.000  3664881.5177       1409189.5373          5009619.3922  6 
2018/10/29 01:47:12.000  3664880.8583       1409191.5669          5009617.1538  6 
2018/10/29 01:47:13.000  3664881.5002       1409190.6736          5009617.8609  6 
2018/10/29 01:47:14.000  3664881.4676       1409190.7334          5009618.4378  6 
2018/10/29 01:47:15.000  3664881.7425       1409189.2231          5009618.2467  6 
2018/10/29 01:47:16.000  3664879.8395       1409190.6045          5009618.0225  6 
2018/10/29 01:47:17.000  3664881.5896       1409190.9718          5009617.5427  6 
2018/10/29 01:47:18.000  3664880.7815       1409191.0213          5009618.1116  6 
2018/10/29 01:47:19.000  3664881.0841       1409191.5790          5009618.6390  6 
2018/10/29 01:47:20.000  3664880.3978       1409190.5219          5009619.3014  6 
2018/10/29 01:47:21.000  3664880.4506          1409188.5020          5009618.8528  6 
2018/10/29 01:47:22.000  3664880.7172          1409189.8760          5009617.7540  6 
2018/10/29 01:47:23.000  3664881.2359          1409190.9416          5009618.6435  6 
2018/10/29 01:47:24.000  3664880.9224          1409190.6291          5009617.6889  6 
2018/10/29 01:47:25.000  3664879.7813          1409190.7715          5009618.0114  6 
2018/10/29 01:47:26.000  3664880.5155          1409189.6069          5009619.4614  6 
2018/10/29 01:47:27.000  3664880.2132          1409189.8129          5009618.5176  6 
2018/10/29 01:47:28.000  3664880.2926          1409190.9652          5009618.8474  6 
2018/10/29 01:47:29.000  3664880.3065          1409191.1716          5009618.9165  6 
2018/10/29 01:47:30.000  3664881.1493          1409190.5489          5009618.6094  1 
2018/10/29 01:47:31.000  3664881.8510          1409189.8836      5009618.1337  1 
2018/10/29 01:47:32.000  3664881.1289          1409190.8053      5009619.7237  1 
2018/10/29 01:47:33.000  3664880.7264          1409190.1336      5009617.4451  1 
2018/10/29 01:47:34.000  3664880.9470          1409189.4846      5009617.5867  1 
2018/10/29 01:47:35.000  3664882.1433          1409189.9736      5009617.1926  1 
2018/10/29 01:47:36.000  3664880.9126          1409191.5510      5009618.1719  1 
2018/10/29 01:47:37.000  3664880.4866          1409190.6185      5009618.0913  1 
2018/10/29 01:47:38.000  3664881.2169          1409190.7624      5009618.8304  1 
2018/10/29 01:47:39.000  3664881.0182          1409190.0625      5009617.9926  6 
2018/10/29 01:47:40.000  3664880.0620          1409190.6729      5009617.2383  6 
2018/10/29 01:47:41.000  3664879.8881          1409190.6250      5009619.1775  6 
2018/10/29 01:47:42.000  3664880.5224          1409190.6568      5009617.7805  6 
2018/10/29 01:47:43.000  3664880.1089          1409189.7946      5009618.4275  6 
2018/10/29 01:47:44.000  3664880.2672          1409190.3417      5009618.0791  6 
2018/10/29 01:47:45.000  3664880.3091          1409191.1517      5009616.8853  6 
2018/10/29 01:47:46.000  3664880.9524          1409190.8433      5009619.5469  6 
2018/10/29 01:47:47.000  3664880.5118          1409190.2952      5009618.9818  6 
2018/10/29 01:47:48.000  3664882.5380          1409191.7139      5009618.4928  6 
2018/10/29 01:47:49.000  3664881.2596          1409190.1526      5009618.0738  6 
2018/10/29 01:47:50.000  3664882.2769          1409190.5563      5009617.3449  6 
2018/10/29 01:47:51.000  3664880.4037          1409189.1517      5009618.6245  6 
2018/10/29 01:47:52.000  3664881.0474          1409189.8042      5009618.6096  6 
2018/10/29 01:47:53.000  3664880.7068          1409190.2300      5009618.0393  6 
2018/10/29 01:47:54.000  3664881.1882          1409190.4583      5009618.9453  6 
2018/10/29 01:47:55.000  3664881.4642          1409190.7805      5009618.1186  6 
2018/10/29 01:47:56.000  3664881.8757          1409190.7157      5009618.3011  6 
2018/10/29 01:47:57.000  3664880.8445          1409189.2963          5009618.7024  6 
2018/10/29 01:47:58.000  3664881.3515          1409191.2231          5009618.6462  6 
2018/10/29 01:47:59.000  3664881.3559          1409191.0603          5009618.4057  6 
2018/10/29 01:48:00.000  3664881.4641          1409190.3438          5009618.8730  1 
2018/10/29 01:48:01.000  3664879.9365          1409189.8471          5009618.7221  1 
2018/10/29 01:48:02.000  3664879.7312          1409189.9403          5009619.0361  1 
2018/10/29 01:48:03.000  3664880.1513          1409189.6787          5009618.2179  1 
2018/10/29 01:48:04.000  3664880.0400          1409189.7623          5009617.9108  6 
2018/10/29 01:48:05.000  3664881.1109          1409190.4742          5009618.3933  6 
2018/10/29 01:48:06.000  3664881.3770          1409189.7150          5009617.9807  6 
2018/10/29 01:48:07.000  3664881.1221          1409191.2790          5009618.2492  6 
2018/10/29 01:48:08.000  3664881.3386          1409190.3438          5009617.9914  6 
2018/10/29 01:48:09.000  3664880.8543          1409190.5768          5009617.3476  6 
2018/10/29 01:48:10.000  3664881.1333          1409190.4054          5009619.4042  6 
2018/10/29 01:48:11.000  3664880.3819          1409189.3799          5009619.3001  6 
2018/10/29 01:48:12.000  3664880.1975          1409190.4193          5009617.4990  6 
2018/10/29 01:48:13.000  3664881.2393          1409189.6844          5009618.5348  6 
2018/10/29 01:48:14.000  3664880.6864          1409189.9304          5009618.5858  6 
2018/10/29 01:48:15.000  3664881.0119          1409191.2999          5009619.1366  6 
